asset_id,iso3_country,emissions_quantity,asset_name,asset_type,start_time,end_time
5110460,USA,471421319.1,Permian TX,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110603,RUS,316586978.5,Urengoyskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110371,USA,261577075.7,Marcellus,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110136,RUS,251679514.9,Bovanenkovskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110547,IRN,243442478.3,South Pars,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110459,USA,221174717.1,Permian NM,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110648,RUS,217766014.6,Zapolyarnoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110460,USA,208608313.4,Permian TX,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110279,DZA,182740857.6,Hassi R'Mel,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110637,RUS,156209791.6,Yamburgskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110603,RUS,152001546.2,Urengoyskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110371,USA,124381935.5,Marcellus,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110136,RUS,122690394.0,Bovanenkovskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110280,USA,121599972.6,Haynesville,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110547,IRN,118086013.6,South Pars,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110554,CHN,105462189.0,Sulige,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110648,RUS,105410741.9,Zapolyarnoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110252,SAU,98054430.09,Ghawar,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110497,IRQ,94355631.14,Rumaila,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110459,USA,93124244.78,Permian NM,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110603,RUS,81863923.17,Urengoyskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110554,CHN,80794288.49,Sulige,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110107,USA,80507397.16,Bakken-US,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110082,USA,76691008.55,Anadarko,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110637,RUS,75151844.98,Yamburgskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110279,DZA,73833503.06,Hassi R'Mel,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110460,USA,70972487.15,Permian TX,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110605,USA,70778816.51,Utica,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110554,CHN,68784165.5,Sulige,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110545,TKM,68217306.36,South Caspian Basin,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110547,IRN,66325442.06,South Pars,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110280,USA,64288548.64,Haynesville,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110371,USA,61650477.79,Marcellus,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110571,RUS,58092799.03,Tarkosalin-Termokarstovoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110487,QAT,57766268.25,Rasgas,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110136,RUS,57314530.36,Bovanenkovskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110644,RUS,55875551.96,Yurkharovskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110195,USA,54246305.47,Denver Julesburg,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110081,TKM,50589320.73,Amudarya Basin,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110497,IRQ,48600475.94,Rumaila,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
